title,scored_by,popularity,members,premiered,genre
Pokopon no Yukai na Saiyuuki,13,13488,77,,"Adventure, Fantasy, Kids, Magic, Martial Arts"
Persona 4 the Animation,76059,479,167555,Fall 2011,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
Fate/stay night Movie: Unlimited Blade Works,77292,609,136486,,"Action, Fantasy, Magic, Supernatural"
Udauda Yatteru Hima wa Nee!,18,11348,190,,"Action, Comedy, School, Shounen"
Boku dake no Hentai Kanojo The Animation,876,6576,2284,,Hentai
Menghuan Xiyou,9,13479,77,,"Action, Adventure, Fantasy, Historical, Magic"
Luv Wave,603,7245,1667,,"Action, Drama, Hentai, Horror, Mystery, Police, Romance, Sci-Fi"
Lupin III: Seven Days Rhapsody,1192,5892,3091,,"Action, Adventure, Comedy, Seinen"
Sidonia no Kishi 3,0,4601,5801,,"Action, Sci-Fi, Space, Mecha, Seinen"
Ski Jumping Pairs: Road to Torino 2006,122,10677,268,,"Sports, Comedy"
Nazotoki-hime wa Meitantei♥,14,10531,291,,"Mystery, Shoujo"
Thermae Romae x LOFT Collaboration,112,9372,543,,"Comedy, Historical, Seinen"
Fairy Tail,423745,19,818652,Fall 2009,"Action, Adventure, Comedy, Magic, Fantasy, Shounen"
Marvel Future Avengers,34,7208,1699,Summer 2017,"Action, Super Power, Kids"
Chalk-iro no People,8,12027,144,,"Romance, Seinen"
Super Seisyun Brothers,10578,2514,22259,Fall 2013,"Comedy, Josei, Slice of Life"
Baku Ane: Otouto Shibocchau zo! The Animation,6175,3193,14009,,Hentai
Sei Shoujo The Animation,1016,5915,3062,,Hentai
Ryoujoku Guerrilla Kari 3,417,7256,1658,,Hentai
Ore ga Kanojo wo *su Wake,30,12819,112,,Hentai
Seto no Hanayome Fan Disc,1708,4616,5737,,"Comedy, Parody, School"
Momo Kyun Sword,6457,2460,23317,Summer 2014,"Comedy, Ecchi, Fantasy"
Bust to Bust: Chichi wa Chichi ni,2359,4719,5438,,Hentai
Onara Gorou,2571,4141,7543,Summer 2016,Comedy
A-Size Classmate,1918,5148,4375,,Hentai
Taikong Lixianji,6,12327,131,Winter 2010,"Action, Sci-Fi, Kids, Mecha"
Kono Minikuku mo Utsukushii Sekai,23159,1601,46881,Spring 2004,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
Go! Go! 575,4795,3880,8804,Winter 2014,Slice of Life
Daybreak Interlude,407,8766,771,,Music
Mezzo Forte,9503,2820,17853,,"Action, Comedy, Hentai, Sci-Fi"
Shirahata no Shoujo Ryuuko,20,11617,170,,Drama
Master Keaton,2684,3338,12673,Fall 1998,"Adventure, Mystery"
Choujin Densetsu Urotsukidouji: Mirai-hen,940,6663,2185,,"Fantasy, Hentai, Demons, Horror, Sci-Fi"
Shoujo kara Shoujo e...,1091,5651,3451,,Hentai
Angel&#039;s Feather,8348,2980,15962,,"Sci-Fi, Supernatural, Drama, Romance, Fantasy, Shounen Ai"
"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",4685,2973,16145,,"Action, School, Shounen"
Platonic Chain: Ansatsu Jikkouchuu,10,12128,140,,"Sci-Fi, Slice of Life"
Shugo Chara! Party!,23040,1561,48456,Fall 2009,"Comedy, Magic, School, Shoujo"
Devilman Memorial,92,9179,608,,"Action, Horror, Demons, Supernatural"
Working!!,93040,516,156252,Fall 2011,"Slice of Life, Comedy, Romance"
Haikara-san ga Tooru,318,6820,2036,Summer 1978,"Slice of Life, Romance, Historical, Drama, Shoujo"
Henbou Moral Hazard,264,8903,710,,Hentai
Dolphin Ouji,25,11509,179,Spring 1965,"Action, Adventure, Kids, Sci-Fi"
Samayou Midara na Lunatics,849,6462,2417,,Hentai
Pochacco no Jack to Mame no Ki,36,12040,145,,"Kids, Fantasy"
Nintama Rantarou Movie,93,10276,331,,"Comedy, Shounen"
Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,35543,1360,59577,,"Action, Adventure, Comedy, Shounen, Super Power"
Meshimase Lodoss-tou Senki: Sorette Oishii no?,185,7360,1573,Spring 2014,Comedy
Dragon Ball Specials,9271,2783,18357,,"Fantasy, Comedy, Super Power, Shounen"
Treasure Gaust,24,11680,167,Spring 2007,Game
Ar:pieL - 6-seosgaeui Unmyeong,0,10228,340,,"Action, Fantasy"
Petit Eva: Evangelion@School,7131,2833,17706,,"Comedy, Parody, School"
City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,1317,5928,3045,,Shounen
Binan Koukou Chikyuu Boueibu LOVE!,20905,1415,56161,Winter 2015,"Slice of Life, Comedy, Parody, Magic, School"
Tatamp,181,10180,350,,Music
Gongnyong Baengmannyeon Ttori,14,12827,108,,"Action, Adventure, Shounen"
Ghiblies,1696,5184,4283,,Comedy
WWW.Working!!,39360,1020,82352,Fall 2016,"Slice of Life, Comedy"
Balloon,224,9867,410,,Dementia
Girlfriend (Note),333,6373,2513,,"Music, School"
Yamiyo no Jidaigeki,21,11846,157,,"Historical, Horror"
Shin Mitsubachi Maya no Bouken,865,7249,1667,Fall 1982,"Adventure, Comedy"
R.O.D the TV,22411,1471,53314,Fall 2003,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
Mahou no Star Magical Emi: Finale! Finale!,31,11339,192,,"Comedy, Magic, Shoujo"
Osamishi Tani no Wakare Uta,62,12018,147,,"Music, Historical"
Kuroko no Basket: Baka ja Katenai no yo!,18323,1971,33879,,"Sports, Comedy, School, Shounen"
Hacka Doll The Animation,10489,2200,27988,Fall 2015,"Comedy, Sci-Fi"
Dr. Slump: Arale-chan Specials,84,9968,394,,"Sci-Fi, Comedy, Shounen"
Ranma: 1994 Music Calendar,695,6722,2142,,"Slice of Life, Martial Arts, Comedy"
Yami no Purple Eye,274,8760,772,Fall 2001,"Psychological, Supernatural, Music, Horror, Mystery, Shoujo"
Anime Koukyoushi: Jungle Taitei,160,9297,562,Spring 2000,"Adventure, Kids, Shounen"
Akai Koudan Zillion: Utahime Yakyoku,234,8959,690,Fall 2001,"Sci-Fi, Adventure"
Sore Ike! Anpanman: Kirakira Boshi no Namida,33,11679,167,,"Kids, Adventure, Comedy, Super Power"
Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,33,10811,248,,"Fantasy, Comedy"
Nezumi-kun no Chokki,7,13484,77,,Kids
Defend Love,778,7557,1425,,"Adventure, Fantasy, Magic, Mecha, Romance, Super Power, Supernatural, Music, Sci-Fi"
Apache Yakyuugun,52,9958,395,Fall 1971,"Action, Sports, School"
Good Morning!!! Doronjo,23,10937,230,Spring 2015,"Comedy, Parody"
Kiss x Sis (TV),175745,224,291333,Spring 2010,"Harem, Comedy, Romance, Ecchi, School, Seinen"
Koto no Shidai,27,13796,62,Spring 2000,"Music, Dementia"
Ganbare! Marine Kid,33,11287,196,Fall 1966,"Action, Adventure, Sci-Fi, Kids"
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,10221,2596,21169,Spring 2000,"Harem, Hentai"
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,98,9732,445,,"Comedy, Sci-Fi, Shounen"
Tick Tock,24,13990,49,,Music
Kanzen Mushusei: Sorezore no Houkago,198,8915,707,,"Hentai, School"
Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,47,11317,193,Spring 2000,Comedy
Yakin Byoutou Ni,1220,5705,3376,Spring 2000,Hentai
Tennis no Ouji-sama,48149,806,107492,Fall 2001,"Action, Comedy, Sports, School, Shounen"
Egao,6516,3664,10113,,"Music, Slice of Life, Kids"
Raldessia Chronicles,63,11414,188,,"Action, Adventure"
Gunnm,14625,2150,29153,,"Drama, Mecha, Sci-Fi, Shounen"
Velvet Underworld: Alternative,41,12185,138,,"Action, Music"
Ukkari Pnlope (2009),76,10028,379,Summer 2009,"Comedy, Slice of Life"
Akai Kiba: Blue Sonnet,482,7736,1305,Fall 2001,"Action, Drama, Sci-Fi, Shoujo, Super Power"
The Aurora: Umi no Aurora,25,11375,188,Summer 2018,"Adventure, Sci-Fi"
Kami nomi zo Shiru Sekai: Natsu-iro Surprise,3497,4277,6931,,Music
Beat Shot!!,95,9795,427,,Sports
T7S Longing for Summer Again and Again: Harukaze,82,9408,532,,"Music, School"
